n_faults,slowdown,baseline,run_id,seed,elapsed_sec,total,avg_latency,p50_latency,p95_latency,p99_latency,p999_latency,max_latency,tail_ratio,throughput,goodput,slo_violation_rate,hedge_count,affected_ratio
4,3.0,fixed_shedding,7,95368,16.435288190841675,141171,0.019011500811418287,0.01743634471018929,0.031406903394556096,0.07355949847186637,0.10832156056605113,0.14680948831658824,4.2187453674783315,2566.7454545454543,2511.5636363636363,0.021498749743219216,0,0.036586834406499916
4,3.0,fixed_isolation,0,8623,16.277578115463257,140933,0.019270027768636566,0.018499729208752314,0.031919952177860006,0.038980604030490855,0.061002427965525914,0.14312962675515095,2.107090519576305,2562.418181818182,2557.5636363636363,0.0018945172528790277,0,0.0013481583447453754
4,3.0,fixed_shedding,6,57823,16.672419548034668,140796,0.018779712324824942,0.017284112198144186,0.03046058066420354,0.07090110888780447,0.10614335776189425,0.15348101107904188,4.102097236756957,2559.927272727273,2507.4727272727273,0.020490638938606212,0,0.03669848575243615
4,3.0,fixed_isolation,2,76924,16.266638040542603,140583,0.019047206333604096,0.01838144823263832,0.030969255981945214,0.03785487266735074,0.06772108797490085,0.1366152744755409,2.059406429148231,2556.0545454545454,2552.418181818182,0.0014226471194952448,0,0.0014795530042750547
4,3.0,fixed_isolation,7,40277,16.277697324752808,141423,0.019295444633232496,0.01859739761608381,0.03164937690167945,0.03820240588703917,0.0536756728606709,0.14048936435094994,2.054180196373289,2571.327272727273,2568.5454545454545,0.0010818608005769925,0,0.0012869193836928929
4,3.0,fixed_isolation,3,76267,16.48824691772461,140944,0.019194392607112518,0.018521509804626746,0.03137131340587445,0.0381141027346844,0.0518316452921944,0.11182472955219502,2.0578291476628623,2562.6181818181817,2559.7818181818184,0.0011068225678283574,15,0.001284197979339312
4,3.0,fixed_shedding,9,93309,16.862794637680054,140324,0.018692323609051032,0.01723559331796931,0.030595954856870486,0.06926159970257055,0.10223737571795612,0.14845166408019494,4.0185213485143265,2551.3454545454547,2499.909090909091,0.020160485733017874,9,0.037377782845414896
4,3.0,fixed_shedding,8,91734,16.903634786605835,140995,0.018796558210633637,0.01730101451905597,0.030826803252126955,0.07020465537519878,0.1044000949757605,0.1392650368912438,4.057834602581994,2563.5454545454545,2511.309090909091,0.02037660909961346,0,0.03711479130465619
4,3.0,fixed_isolation,5,74208,16.41759943962097,140236,0.018780632946806597,0.018134217104400108,0.03020901243252272,0.037801789145266426,0.07565462509205984,0.11578084790707166,2.084555893846344,2549.7454545454543,2544.090909090909,0.0022176901794118487,0,0.004428249522233948
4,3.0,fixed_isolation,4,72633,16.569119930267334,140770,0.019048795141562137,0.0184002479257952,0.031006319126530887,0.03781564831285796,0.058616599858638256,0.11894559083101353,2.0551705860356604,2559.4545454545455,2556.4727272727273,0.0011650209561696384,0,0.0013355118278042196
4,3.0,fixed_isolation,6,70574,16.78329825401306,140898,0.018977200372974977,0.017872901192417245,0.030853093128693842,0.05548532970221006,0.09938266294348481,0.148187053127538,3.10443889913912,2561.7818181818184,2532.327272727273,0.0114976791721671,0,0.01894987863560874
4,3.0,fixed_isolation,8,58148,17.13494634628296,140772,0.01909341956011783,0.018471144808865247,0.03100736231028695,0.037748730729648745,0.05303171453849299,0.11992947530509124,2.043659508940193,2559.490909090909,2556.690909090909,0.0010939675503651295,0,0.0012218338874207938
4,3.0,adaptive,0,60439,16.98195171356201,141010,0.019206049593897,0.018546192277802298,0.03142173059136508,0.037861699286129286,0.05053761820311274,0.12741121517304954,2.041481006936689,2563.818181818182,2561.181818181818,0.001028295865541451,2,0.0012906886036451316
4,3.0,adaptive,3,71917,16.795790433883667,140437,0.01896855335218878,0.018375666689788517,0.030368796350090568,0.03736124247173463,0.056616274837251006,0.11871614008435571,2.0331911272909915,2553.4,2550.4,0.001174904049502624,9,0.0013529198145787792
4,3.0,adaptive,4,81274,16.79659152030945,140781,0.01900455240558751,0.01831352303633338,0.030738439507530302,0.037877349201332365,0.08222528985141901,0.14007676378748357,2.068272124712708,2559.6545454545453,2553.7454545454543,0.002308550159467542,0,0.0042690419871999775
4,3.0,adaptive,7,7907,16.795572996139526,140358,0.01890689994197129,0.018288406009643765,0.030546048877048357,0.037580630921398774,0.053346539241752054,0.11719518338981416,2.054888266455913,2551.9636363636364,2549.2545454545457,0.0010615711252653928,12,0.0012966841932771911
4,3.0,fixed_isolation,9,38218,17.38026213645935,140588,0.018857635865220886,0.01815975032858308,0.03054267491898849,0.03805661561961816,0.07542844710464784,0.130516574173976,2.0956574254062192,2556.1454545454544,2551.1454545454544,0.0019560702193643837,0,0.005000426778956952
