n_faults,slowdown,baseline,metric,mean,ci_95,min,max,n
4,10.0,adaptive,max_latency,0.8014670034852847,0.03177269158415022,0.7209512669310776,0.8753827253764044,10
4,10.0,adaptive,tail_ratio,23.07937007741052,0.3041695586844089,22.588142483973,24.014476369000498,10
4,10.0,adaptive,throughput,2562.04,4.092482635000379,2554.8545454545456,2572.490909090909,10
4,10.0,adaptive,goodput,2520.5854545454554,4.032770525381201,2513.327272727273,2530.9454545454546,10
4,10.0,adaptive,slo_violation_rate,0.016180292051667496,5.950139018388553e-05,0.016024410020057184,0.01628297515039432,10
4,10.0,adaptive,affected_ratio,0.015596305647022007,2.5297253178920423e-05,0.015534996148056006,0.01564033627789869,10
4,10.0,fixed_isolation,p99_latency,0.4423186029423566,0.005089524769487195,0.43336721832799574,0.4552285553352999,10
4,10.0,fixed_isolation,p999_latency,0.623926493338135,0.01409455533437928,0.5939247973589497,0.6615277625040747,10
4,10.0,fixed_isolation,p95_latency,0.036337574831697264,0.0002651153063497337,0.035671319697291884,0.037165738152811656,10
4,10.0,fixed_isolation,p50_latency,0.019023066292207604,6.55039545103015e-05,0.018880368029076777,0.01919419622562657,10
4,10.0,fixed_isolation,avg_latency,0.027032982471827643,0.00015978837987201948,0.026718513757931238,0.027452717734924116,10
4,10.0,fixed_isolation,max_latency,0.8289941548765716,0.042794762290096926,0.7460453180735378,0.9464891817457612,10
4,10.0,fixed_isolation,tail_ratio,23.251355281589433,0.23671636698933837,22.810293229006135,23.835310836510672,10
4,10.0,fixed_isolation,throughput,2560.625454545455,3.1961825214550306,2554.0545454545454,2567.8727272727274,10
4,10.0,fixed_isolation,goodput,2519.194545454545,3.017350072694372,2512.8727272727274,2525.4545454545455,10
4,10.0,fixed_isolation,slo_violation_rate,0.016179875298998933,0.00012420974919646581,0.015934468696846556,0.01651880226292722,10
4,10.0,fixed_isolation,affected_ratio,0.015599927061177169,2.3064944631828503e-05,0.015554956590818816,0.015649797527630894,10
4,10.0,fixed_shedding,p99_latency,0.44520655920940416,0.007830013464232661,0.42098776687978234,0.4577450764055595,10
4,10.0,fixed_shedding,p999_latency,0.62733582710779,0.018446361409899952,0.5749569028722535,0.6661594901556773,10
4,10.0,fixed_shedding,p95_latency,0.03660578889033767,0.0002979384050719526,0.03609102009606565,0.037217977268696245,10
4,10.0,fixed_shedding,p50_latency,0.019060901104421248,0.0001254390549284532,0.018871605992259788,0.019368858617614393,10
4,10.0,fixed_shedding,avg_latency,0.02715973154994828,0.0002714894506915431,0.026518575783493835,0.027718265295952477,10
4,10.0,fixed_shedding,max_latency,0.8216675591411565,0.04353098168598686,0.7293987315129371,0.9218303081419066,10
4,10.0,fixed_shedding,tail_ratio,23.356308965393225,0.3553473867901865,22.231851028682104,23.97820454018821,10
4,10.0,fixed_shedding,throughput,2560.052727272727,6.509896040683341,2548.2181818181816,2575.7636363636366,10
4,10.0,fixed_shedding,goodput,2518.1909090909094,6.223913512177289,2506.7818181818184,2533.181818181818,10
4,10.0,fixed_shedding,slo_violation_rate,0.016351610263029198,0.00013817315978162072,0.016032263332410306,0.016641226793511057,10
4,10.0,fixed_shedding,affected_ratio,0.01561135350082265,3.83141693596376e-05,0.015515257611158562,0.015682972772418518,10
4,10.0,fixed_speculation,p99_latency,0.442687729971693,0.0064878364168402085,0.42631457573425713,0.45529831153852146,10
4,10.0,fixed_speculation,p999_latency,0.6249284669797344,0.023702567331533916,0.579172150895958,0.6844455739993931,10
4,10.0,fixed_speculation,p95_latency,0.03631764014447166,0.00023861095209599798,0.03574584315318031,0.03680772618401207,10
4,10.0,fixed_speculation,p50_latency,0.01902899475207844,0.00010158699567965514,0.018856424330886412,0.019292805976739658,10
4,10.0,fixed_speculation,avg_latency,0.027050725133168134,0.00023253189290703923,0.02654103136762761,0.027593703335988585,10
