load_factor,n_faults,fault_fraction,baseline,run_id,seed,elapsed_sec,total,avg_latency,p50_latency,p95_latency,p99_latency,p999_latency,max_latency,tail_ratio,throughput,goodput,slo_violation_rate,hedge_count,affected_ratio
0.7,4,0.125,adaptive,9,30742,13.97808837890625,123143,0.015240462482038171,0.014364241452483384,0.02582336765448083,0.029369686019085964,0.037503584543818365,0.19401277248346727,2.044638842659411,2238.9636363636364,2237.4727272727273,0.0006658924989646184,0,0.0007227369805835492
0.7,4,0.125,no_mitigation,4,20441,13.820287942886353,123543,0.019038760181111152,0.014057939794241747,0.028906339060224263,0.14600852173555456,0.19068758404894143,0.23214638167585377,10.386196261514856,2246.2363636363634,2166.6,0.03545324300041281,0,0.03556656386845066
0.7,4,0.125,no_mitigation,5,50738,13.862082958221436,123286,0.01905771054266583,0.014019451016466178,0.028935206771770083,0.14633950446828048,0.1909706052323527,0.25150500091249484,10.4383191821421,2241.5636363636363,2161.8,0.03558392680434112,0,0.035648816572846874
0.7,4,0.125,no_mitigation,6,45628,13.984753370285034,123242,0.019081721417958917,0.014002742115688971,0.028935935213797313,0.1473875505827349,0.19459833838283336,0.24552897683785346,10.525620579529114,2240.7636363636366,2161.1272727272726,0.03553983220006167,0,0.03564531572029016
0.7,4,0.125,no_mitigation,7,52797,14.24381685256958,123383,0.019126925586362194,0.014135682619192735,0.029012873392871792,0.14672626466447558,0.19221306269468247,0.24684072020653502,10.379849959651603,2243.327272727273,2163.672727272727,0.03550732272679381,0,0.035628895390775066
0.7,4,0.125,no_mitigation,8,394,14.227537155151367,123169,0.019003400673515233,0.01399670057057989,0.02890775231885811,0.14610943369012314,0.19019941942298804,0.2401153098613058,10.438848280946669,2239.4363636363637,2159.672727272727,0.035617728486875756,0,0.03569891774716041
0.7,6,0.1875,adaptive,4,99904,13.971739292144775,122970,0.016608927851341528,0.016061086570672956,0.027748944678242893,0.032687550999686864,0.11204371068011684,0.24028858352962068,2.0352017191273544,2235.818181818182,2233.1272727272726,0.0012035455802228187,0,0.0012604700333414653
0.7,6,0.1875,adaptive,0,63914,14.317556619644165,122421,0.016494620981448847,0.015916634882536584,0.02764797852926648,0.032272020962903984,0.09795664806423685,0.23139884320807802,2.0275655753285013,2225.836363636364,2223.3818181818183,0.001102751978827162,0,0.0011517631778861469
0.7,4,0.125,no_mitigation,9,86728,14.338876008987427,123149,0.019048273060767656,0.014041162567324683,0.028996641972838685,0.14657479803886644,0.1917656086787914,0.24052930664780092,10.438936045079485,2239.072727272727,2159.3818181818183,0.0355910320018839,0,0.0357128356706104
0.7,6,0.1875,adaptive,2,2155,14.372318267822266,123908,0.016866486477729713,0.01634965378538844,0.028073325581808816,0.03338694070145531,0.09366411094068595,0.22681092503357814,2.042057962798757,2252.8727272727274,2250.4,0.0010975885334280273,0,0.0011540820608838816
0.7,6,0.1875,adaptive,1,32452,14.448259115219116,123592,0.016758500745868047,0.016213559091285745,0.0279037199376873,0.03296088464882445,0.09870981044369509,0.23992066228662434,2.0329209930557344,2247.1272727272726,2244.3636363636365,0.001229853064923296,0,0.0012783998964334261
0.7,6,0.1875,adaptive,6,66165,14.28945541381836,122741,0.01662222787974447,0.01604822752913826,0.027766452640531014,0.032530347016738764,0.1114805571358691,0.24782628585396438,2.027036752667822,2231.6545454545453,2228.927272727273,0.0012220855296926048,0,0.0012628217140156915
0.7,6,0.1875,no_mitigation,3,30252,14.019177198410034,123138,0.023962795454531644,0.01617996326818627,0.1048031867232273,0.1890327690778927,0.23307437543252696,0.2764870090292142,11.683139568652603,2238.8727272727274,2119.090909090909,0.05350095015348633,0,0.05357403888320421
0.7,6,0.1875,adaptive,5,96462,14.361782789230347,123021,0.016661594155030674,0.016117181035157913,0.027788871080874245,0.03255813730494456,0.10766567416666956,0.20555666806014106,2.0200888253300904,2236.7454545454543,2234.018181818182,0.0012193040212646622,0,0.001292462262540542
0.7,6,0.1875,no_mitigation,1,85018,14.135547637939453,122741,0.023931276354782587,0.016099473573392586,0.1059250731955359,0.18876722298656587,0.2300017418109143,0.2931272593324721,11.725055612907695,2231.6545454545453,2112.0363636363636,0.05360067133231764,0,0.053731027122151526
0.7,6,0.1875,adaptive,3,98521,14.477349281311035,122822,0.016641100948742656,0.016065748589579876,0.027892126164173626,0.03266922538005779,0.09798718771950703,0.21752562238375717,2.033470472782501,2233.1272727272726,2230.6363636363635,0.0011154353454592826,0,0.0011805702561430362
0.7,6,0.1875,adaptive,7,32260,14.481528520584106,122838,0.016601607321441843,0.0160034538900522,0.027752112095386392,0.032674419385223925,0.12510650652655145,0.25398743760439046,2.041710471358589,2233.418181818182,2230.7090909090907,0.0012129796968364838,0,0.0012618245168433222
0.7,6,0.1875,no_mitigation,2,68173,14.337135791778564,123536,0.024242617160173948,0.016322538954347543,0.10417125331748989,0.19185398968476025,0.24043577742060765,0.31867652411268566,11.753930575467216,2246.109090909091,2126.3636363636365,0.05331239476751716,0,0.05336096360575055
0.7,6,0.1875,no_mitigation,0,70232,14.413960456848145,123133,0.02418774358630825,0.016213022491072593,0.10545967962361949,0.1918266804472924,0.23928442747572962,0.29836542506149044,11.831642160054875,2238.7818181818184,2118.9636363636364,0.053519365239212885,0,0.053584335637075355
0.7,6,0.1875,adaptive,8,64106,14.629133224487305,122494,0.016529624636739754,0.015983492583533376,0.02759876211502785,0.031827823366199874,0.11001707295970906,0.2573829936060168,1.991293404733691,2227.163636363636,2224.6363636363635,0.001134749457116267,0,0.0011674041177527062
0.7,6,0.1875,adaptive,9,34319,14.609090089797974,123638,0.016737789969447213,0.016181522201048182,0.027909226054719478,0.032787268354289786,0.10739686561842546,0.24355500832281063,2.026216566459115,2247.9636363636364,2245.2181818181816,0.0012213073650495802,0,0.0012698361345217489
0.7,6,0.1875,no_mitigation,4,34242,14.422226905822754,123285,0.024067885106422594,0.0162165159537917,0.10628180268972155,0.18981477775803157,0.23411203793021454,0.2850960383223864,11.705028274809523,2241.5454545454545,2121.8,0.05342093523137446,0,0.0534939368130754
0.7,6,0.1875,no_mitigation,5,35817,14.804023265838623,122878,0.024034479850480146,0.016118651895805414,0.10708753684349306,0.18976985138483152,0.23558964853818945,0.2987362545283432,11.773307880308257,2234.1454545454544,2114.3454545454547,0.05362229202949267,0,0.053679259102524454
0.7,6,0.1875,no_mitigation,6,32183,14.682319164276123,123448,0.024117453290024404,0.016268879818454707,0.10560984518800395,0.19077460940211888,0.23603791384976505,0.29020269180625036,11.726351877386941,2244.509090909091,2124.690909090909,0.05338280085542091,0,0.0534314043159873
0.7,6,0.1875,no_mitigation,7,66242,14.62541389465332,123704,0.024195322976129936,0.016346506670394945,0.10639596682593433,0.19083452921302171,0.23602318419333207,0.2970108440383328,11.67433097853506,2249.163636363636,2129.327272727273,0.053280411304404064,0,0.05332891418224148
0.7,6,0.1875,no_mitigation,9,99827,14.090129137039185,123354,0.024133752675740836,0.01622472053363566,0.10489408831750122,0.19093259169096216,0.2338228042040582,0.29642430197518266,11.768004958553062,2242.8,2122.981818181818,0.05342348038977252,0,0.05348833438721079
0.7,6,0.1875,no_mitigation,8,98252,14.526657819747925,123211,0.02397738162069809,0.01622271757343441,0.10354393499475201,0.1889640039294926,0.2336416783622326,0.27679120714407546,11.648110316543484,2240.2,2120.3636363636365,0.05349360040905439,0,0.053534181201353774
0.7,8,0.25,adaptive,1,9907,14.316808700561523,122576,0.02050353519056918,0.01929771856343443,0.03411188020001532,0.03971592994749251,0.17737412773582426,0.26935698113869133,2.058063486465534,2228.6545454545453,2223.3454545454547,0.0023821955358308317,0,0.002243506069703694
0.7,8,0.25,adaptive,3,43838,14.51574158668518,122580,0.02058318199786538,0.01931327670341787,0.034500001796722655,0.03989759841020461,0.17592498508033488,0.27171274953382873,2.0658119812027516,2228.7272727272725,2223.8,0.0022108011094795236,0,0.0020884320443791808
0.7,8,0.25,adaptive,0,6273,14.740623712539673,122855,0.022550639864185963,0.01904135900930015,0.03547498835281786,0.16841856257327725,0.23036366558906196,0.2767708391599566,8.844881423170401,2233.7272727272725,2190.4727272727273,0.019364291237637866,0,0.019348011883928207
0.7,8,0.25,adaptive,5,10928,14.506076574325562,123459,0.021302613450277282,0.019678080271386733,0.03588816051718186,0.04441873544946915,0.18965294116557185,0.2993586443402938,2.2572697558337036,2244.7090909090907,2232.890909090909,0.0052649057581869285,0,0.006293587344786528
0.7,8,0.25,adaptive,9,74938,14.308513402938843,123071,0.02091103853624244,0.019608389317461672,0.035129218847420596,0.0415447614195138,0.1738445190850909,0.2608034936448682,2.1187238149396257,2237.6545454545453,2232.2545454545457,0.0024132411372297293,0,0.0019013415020597867
0.7,8,0.25,adaptive,2,40204,14.678364992141724,123819,0.021748996268651757,0.020282554284648313,0.036822974399110996,0.044345720256134286,0.1494656798659094,0.2968649357106301,2.1863972177162703,2251.2545454545457,2244.981818181818,0.0027863252004942697,0,0.001994847317455318
0.7,8,0.25,no_mitigation,0,72127,14.36244010925293,122920,0.032659137549617724,0.018836939763358984,0.1869864685953343,0.24790597676143256,0.2961498874123608,0.36172308917651463,13.160629055238122,2234.909090909091,2073.9636363636364,0.07201431825577612,0,0.07154246664497234
0.7,8,0.25,adaptive,7,76997,14.621691703796387,122784,0.022669528704755706,0.019123442475489583,0.03567463557057557,0.16611956572355707,0.22806758402086325,0.2972918729343945,8.686697802263984,2232.4363636363637,2189.0363636363636,0.019440643732082357,0,0.01939992181391712
0.7,8,0.25,adaptive,4,42263,14.732739448547363,122860,0.02674445692309663,0.018868800433079258,0.043114728175295894,0.21121428136080259,0.2716576440048676,0.3563981934051057,11.193837261139228,2233.818181818182,2131.8,0.045669868142601336,0,0.045328015627543544
