load_factor,n_faults,fault_fraction,baseline,metric,mean,ci_95,min,max,n
0.8,6,0.1875,no_mitigation,affected_ratio,0.04687375935211449,8.737565203346534e-05,0.046583894797802165,0.04700845568069298,10
0.8,8,0.25,adaptive,p99_latency,1.0020507759095618,0.23535923887290508,0.5312664876777797,1.5966621325935981,10
0.8,8,0.25,adaptive,p999_latency,1.1535600607116572,0.2534365030034103,0.6098136592335183,1.8506082173237324,10
0.8,8,0.25,adaptive,p95_latency,0.5760462052012053,0.13997649172867901,0.3854958244522564,0.9480140842627689,10
0.8,8,0.25,adaptive,p50_latency,0.12184337115795305,0.04219189164317577,0.05391047884140576,0.22801455214882438,10
0.8,8,0.25,adaptive,avg_latency,0.15662652497472174,0.0457949403631744,0.07751254668431555,0.2739862975176908,10
0.8,8,0.25,adaptive,max_latency,1.2465909193326585,0.2576444639928832,0.6996679135005408,1.9624300217450497,10
0.8,8,0.25,adaptive,tail_ratio,8.8019690263771,1.0349224284014644,6.642397915157349,10.527300462119522,10
0.8,8,0.25,adaptive,throughput,2552.801818181818,3.4420480421753217,2542.836363636364,2557.163636363636,10
0.8,8,0.25,adaptive,goodput,414.5072727272727,235.42554637569933,82.12727272727273,1103.8727272727272,10
0.8,8,0.25,adaptive,slo_violation_rate,0.8374123384590131,0.09263092415189564,0.5658892003203295,0.9678793395246967,10
0.8,8,0.25,adaptive,affected_ratio,0.06264225111521529,8.710262970832209e-05,0.06253377321464122,0.06289326164054455,10
0.8,8,0.25,no_mitigation,p99_latency,0.906216067237119,0.2195810025039297,0.6021891719229457,1.421387880005739,10
0.8,8,0.25,no_mitigation,p999_latency,1.0617792089831373,0.239373180921189,0.6899501721398592,1.5871057671786133,10
0.8,8,0.25,no_mitigation,p95_latency,0.4912926648032287,0.06588638068250974,0.38945016736199095,0.6526231337597485,10
0.8,8,0.25,no_mitigation,p50_latency,0.10138989342274751,0.030048449013394245,0.05871987645181065,0.19019898905011168,10
0.8,8,0.25,no_mitigation,avg_latency,0.1337657990907682,0.03269991221488847,0.08673351960786314,0.22212713978130835,10
0.8,8,0.25,no_mitigation,max_latency,1.1521295041644684,0.24016653819532022,0.7861234766475462,1.6690290993849572,10
0.8,8,0.25,no_mitigation,tail_ratio,9.20346746028049,0.8393097542294805,7.4731621188125565,11.18857094343401,10
0.8,8,0.25,no_mitigation,throughput,2552.3490909090915,3.012479358364949,2543.0,2555.927272727273,10
0.8,8,0.25,no_mitigation,goodput,462.5127272727274,192.69200412895617,168.03636363636363,947.1636363636363,10
0.8,8,0.25,no_mitigation,slo_violation_rate,0.8186389498619624,0.07579180341730958,0.6275408429557073,0.9342276625271323,10
0.8,8,0.25,no_mitigation,affected_ratio,0.06265544707491708,7.453431374520268e-05,0.0625671531340501,0.06287491509670039,10
0.85,2,0.0625,adaptive,p99_latency,0.03661745693571829,0.0003155000696657902,0.03598379954686991,0.037154497907110125,10
0.85,2,0.0625,adaptive,p999_latency,0.04268630268676227,0.001632486177685296,0.04000563657368253,0.04797482713908205,10
0.85,2,0.0625,adaptive,p95_latency,0.02978464574776814,0.0001231319810542146,0.029479617915939112,0.03000140684247743,10
0.85,2,0.0625,adaptive,p50_latency,0.018001636607732685,8.295273252403586e-05,0.01775616365834054,0.018151148016961827,10
0.85,2,0.0625,adaptive,avg_latency,0.018531089661350524,0.00010954004801457863,0.018217360152622483,0.018743594044297218,10
0.85,2,0.0625,adaptive,max_latency,0.2226185225077592,0.023129628243557708,0.19644375360143673,0.2775684995741905,10
0.85,2,0.0625,adaptive,tail_ratio,2.034089616984537,0.012398069578215465,2.0063745394845514,2.0625349538052133,10
0.85,2,0.0625,adaptive,throughput,2716.5581818181818,4.874370857069413,2701.181818181818,2725.6363636363635,10
0.85,2,0.0625,adaptive,goodput,2715.4836363636364,4.772675439925095,2700.418181818182,2724.690909090909,10
0.85,2,0.0625,adaptive,slo_violation_rate,0.0003954294819148338,0.00010390485572206238,0.00028270454010029283,0.0008015496626811836,10
0.85,2,0.0625,adaptive,affected_ratio,0.0004007806649221619,0.00010079608697684871,0.0002894356005788712,0.0007948700821588404,10
0.85,2,0.0625,no_mitigation,p99_latency,0.14171006775887546,0.0005949870811034002,0.14055981990976463,0.14264442176856867,10
0.85,2,0.0625,no_mitigation,p999_latency,0.1981793665018411,0.00047010479651463376,0.1970686176929203,0.19892091607792065,10
0.85,2,0.0625,no_mitigation,p95_latency,0.03165038656758905,0.00022166475285185212,0.031140176560940702,0.03195911795254478,10
0.85,2,0.0625,no_mitigation,p50_latency,0.017946497838274532,7.73948187181169e-05,0.017775883208869914,0.018077334866301698,10
0.85,2,0.0625,no_mitigation,avg_latency,0.02037715883763806,9.094704148628832e-05,0.020204492378087104,0.020517739931391638,10
0.85,2,0.0625,no_mitigation,max_latency,0.2718143202018231,0.011440356489782482,0.24965823309928936,0.2921081277935187,10
0.85,2,0.0625,no_mitigation,tail_ratio,7.896319456503297,0.02338707793757851,7.848234767745969,7.965672645646737,10
0.85,2,0.0625,no_mitigation,throughput,2719.918181818182,3.9966375623902337,2711.836363636364,2726.981818181818,10
0.85,2,0.0625,no_mitigation,goodput,2679.938181818182,3.9975684298023317,2671.909090909091,2687.0363636363636,10
0.85,2,0.0625,no_mitigation,slo_violation_rate,0.014699028185469198,2.3957358860040267e-05,0.014648229144442073,0.014762941866309264,10
0.85,2,0.0625,no_mitigation,affected_ratio,0.014695696673587172,2.6512626951588684e-05,0.014648229144442073,0.014750152529986389,10
0.85,4,0.125,adaptive,p99_latency,0.2171868349596166,0.002528986503553672,0.2087685715444554,0.22145724985336127,10
0.85,4,0.125,adaptive,p999_latency,0.27823372986384076,0.004500309722048651,0.2693517643754613,0.29127152484415453,10
0.85,4,0.125,adaptive,p95_latency,0.04346584773020982,0.0009677448414219792,0.04162352522691837,0.04671788259469577,10
0.85,4,0.125,adaptive,p50_latency,0.023151135267501566,0.00027431688442941456,0.022292193132003035,0.02361434525082373,10
0.85,4,0.125,adaptive,avg_latency,0.02854356328478729,0.0002822385857842701,0.027749003282642917,0.029210519370167897,10
0.85,4,0.125,adaptive,max_latency,0.3613332649667066,0.017533085604536456,0.3395818029175537,0.4066516166976655,10
