experiment,load_factor,baseline,run_id,seed,elapsed_sec,total,avg_latency,p50_latency,p95_latency,p99_latency,p999_latency,max_latency,tail_ratio,throughput,goodput,slo_violation_rate,hedge_count,affected_ratio
E1_many_moderate,0.75,fixed_isolation,5,47,15.145470142364502,119927,0.02051828372081487,0.019068190852259193,0.03737687027823355,0.055543028236320485,0.07667116880491462,0.10913245412628925,2.912863032820954,2398.54,2358.96,0.0165017052039991,0,0.09215606160414253
E1_many_moderate,0.75,fixed_isolation,4,46,15.276240348815918,120212,0.020730806230096443,0.0192259539257158,0.03773376094492419,0.05605460959834637,0.07698869470051399,0.10120519529178651,2.9155697457159806,2404.24,2362.6,0.017319402389112566,0,0.09094765913552723
E1_many_moderate,0.75,fixed_isolation,7,49,16.154567003250122,120528,0.0208739291963444,0.019313669257108756,0.038060818695892874,0.056034891935120325,0.07651838938019465,0.11357076551221112,2.9013074206236413,2410.56,2368.48,0.017456524624983406,0,0.09296594982078853
E1_many_moderate,0.75,fixed_isolation,8,50,16.02500081062317,119736,0.020488444161786263,0.019083026720064566,0.03706479577110189,0.05644303561759897,0.07596364880153648,0.10410792277132686,2.9577611793758467,2394.72,2352.38,0.017680563907262643,0,0.09203581211999733
E1_many_moderate,0.75,fixed_isolation,9,51,15.82184624671936,119308,0.020160895917775944,0.018856752957715273,0.036434529408889825,0.05586614683286089,0.07552311453428069,0.11643784798970813,2.9626599530754927,2386.16,2345.72,0.01694773192074295,0,0.09108358198947263
E1_many_moderate,0.75,adaptive,0,42,15.778544187545776,120626,0.021759481248050255,0.019999999999999574,0.03834210073896571,0.05778754589131907,0.0790903702500625,0.11400408600997025,2.889377294566015,2412.52,2365.22,0.01960605507933613,0,0.07635169863876776
E1_many_moderate,0.75,adaptive,1,43,15.781623363494873,120043,0.02087742945723162,0.019317769539114238,0.03822233719857024,0.05626037162739536,0.07674452828594865,0.11775507953013076,2.91236374434846,2400.86,2357.08,0.0182351324108861,0,0.09108402822322001
E1_many_moderate,0.75,adaptive,4,46,15.567113161087036,120212,0.020730806230096443,0.0192259539257158,0.03773376094492419,0.05605460959834637,0.07698869470051399,0.10120519529178651,2.9155697457159806,2404.24,2362.6,0.017319402389112566,0,0.09094765913552723
E1_many_moderate,0.75,adaptive,2,44,15.829139232635498,119747,0.02055198791527807,0.01906207079024469,0.03766026779121745,0.055803971045772,0.07612452100949695,0.10819572898170549,2.927487346984911,2394.94,2354.68,0.016810442015248818,0,0.09244490467402106
E1_many_moderate,0.75,adaptive,5,47,15.716480731964111,119927,0.02051828372081487,0.019068190852259193,0.03737687027823355,0.055543028236320485,0.07667116880491462,0.10913245412628925,2.912863032820954,2398.54,2358.96,0.0165017052039991,0,0.09215606160414253
E1_many_moderate,0.75,adaptive,3,45,16.03279709815979,120285,0.02084607464113256,0.01934880507294423,0.03743731500743052,0.056953078217628045,0.07743277622258748,0.10187733404342936,2.9434933063265247,2405.7,2359.92,0.0190298042149894,0,0.08941264496820052
E1_many_moderate,0.75,lit_blacklist,1,43,15.03980016708374,119277,0.04577618371700273,0.044887336190946314,0.07804393457508496,0.08850516819538427,0.09778650259780078,0.11249025670433355,1.9717179878728377,2385.54,1471.96,0.3829657016859914,0,0.0016851530471088307
E1_many_moderate,0.75,lit_blacklist,2,44,15.043638229370117,119519,0.05309961495034816,0.04829019270903956,0.10856739666855329,0.1221904273326478,0.13014542985236696,0.14359677800158366,2.5303362955885382,2390.38,1280.52,0.46430274684359807,0,0.0017988771659736109
E1_many_moderate,0.75,adaptive,6,48,15.72662901878357,119482,0.02026815073728399,0.018926594557576948,0.03690720977392985,0.054956563623691494,0.0744137268670302,0.09918199773889569,2.903668880130924,2389.64,2352.06,0.01572621817512261,0,0.0922230963659798
E1_many_moderate,0.75,lit_blacklist,0,42,15.462316513061523,119855,0.18065627402145337,0.20455132687137478,0.26687216861333024,0.27841080706274357,0.288679339303669,0.30525401395846075,1.361080425734969,2397.1,186.08,0.9223728672145509,0,0.0019022986108214093
E1_many_moderate,0.75,lit_blacklist,3,45,15.498496055603027,119596,0.11035855998818378,0.08863250037675385,0.2291489280024841,0.2415267630040578,0.2527994142385502,0.2669129562264203,2.7250360982415023,2391.92,776.24,0.6754740961236162,0,0.0020736479480919093
E1_many_moderate,0.75,adaptive,7,49,16.12455105781555,120528,0.0208739291963444,0.019313669257108756,0.038060818695892874,0.056034891935120325,0.07651838938019465,0.11357076551221112,2.9013074206236413,2410.56,2368.48,0.017456524624983406,0,0.09296594982078853
E1_many_moderate,0.75,lit_blacklist,5,47,15.533304452896118,119830,0.07226002754445458,0.07295450814182303,0.11619318564707282,0.12786052621417765,0.13821643972155212,0.1477189587162826,1.7526062401190854,2396.6,557.08,0.7675540348827505,0,0.0018943503296336476
E1_many_moderate,0.75,adaptive,9,51,15.989434480667114,119308,0.020160895917775944,0.018856752957715273,0.036434529408889825,0.05586614683286089,0.07552311453428069,0.11643784798970813,2.9626599530754927,2386.16,2345.72,0.01694773192074295,0,0.09108358198947263
E1_many_moderate,0.75,adaptive,8,50,16.238543272018433,119736,0.020488444161786263,0.019083026720064566,0.03706479577110189,0.05644303561759897,0.07596364880153648,0.10410792277132686,2.9577611793758467,2394.72,2352.38,0.017680563907262643,0,0.09203581211999733
E1_many_moderate,0.75,lit_blacklist,4,46,16.04477572441101,119892,0.18910491920171038,0.19943843452222865,0.2656509223324711,0.2868908886349594,0.30484863164697973,0.3198087141234254,1.4384934845794912,2397.84,181.12,0.9244653521502686,0,0.0017348947385980717
E1_many_moderate,0.75,lit_blacklist,6,48,14.839966297149658,119246,0.05378034828595994,0.052114942272778464,0.0990325699076604,0.11473999079025146,0.1257907290497414,0.1381734850218237,2.201671647062043,2384.92,1138.92,0.5224493903359442,0,0.0017694513862100197
E1_many_moderate,0.75,lit_blacklist,8,50,14.880009651184082,119608,0.13535474450288668,0.1115793065755053,0.30982236239523325,0.32862337225715144,0.34077502660369324,0.35812144655862,2.9451999868342362,2392.16,730.06,0.6948113838539228,0,0.0016888502441308273
E1_many_moderate,0.75,lit_blacklist,7,49,15.409884452819824,119951,0.1620872596951633,0.14038029401758223,0.33749050381257817,0.3588492449039329,0.3738640552710522,0.38642547152676343,2.556265089877843,2399.02,118.28,0.9506965344182208,0,0.0017340414002384307
E1_many_moderate,0.75,lit_blacklist,9,51,14.929415702819824,119390,0.05436443675377145,0.04917146691705021,0.11627612330356842,0.14752964868856489,0.1651553164315029,0.1796644777058063,3.0003100972651473,2387.8,1237.32,0.48181589747885084,0,0.001758941284864729
E1_many_moderate,0.8,no_mitigation,0,42,16.529716968536377,128631,0.02492110366016515,0.020391059570357584,0.059308817491949384,0.07686600316423657,0.09464894170797218,0.1348203786575155,3.7695933798347796,2572.62,2332.76,0.09323568968600104,0,0.15446509783800172
E1_many_moderate,0.8,no_mitigation,6,48,16.08647084236145,127254,0.024145777954548548,0.019770426010440545,0.057872946033290504,0.07574362888368456,0.09310234480299466,0.11308757172031214,3.831158157324743,2545.08,2328.9,0.08494035550945353,0,0.1556336146604429
E1_many_moderate,0.8,no_mitigation,1,43,16.45328426361084,127796,0.024573897776407495,0.020000000000003126,0.058653342051446344,0.0762062092403948,0.09269291235893551,0.11809899218706477,3.810310462019144,2555.92,2324.1,0.09069923941281417,0,0.1553100253529062
E1_many_moderate,0.8,no_mitigation,5,47,16.2164409160614,127773,0.024397091671334577,0.019937704685567326,0.058273456420931756,0.07601094651815486,0.09381552633397627,0.11966992783185759,3.8124221276673995,2555.46,2331.08,0.08780415267701314,0,0.15539276685997824
E1_many_moderate,0.8,no_mitigation,4,46,16.319212198257446,128513,0.025217887952756483,0.020760746958019993,0.05949524519542066,0.07792452927008157,0.09534589672661911,0.1198058997788145,3.7534549902106913,2570.26,2330.54,0.09326682903675114,0,0.15443573801872185
E1_many_moderate,0.8,no_mitigation,8,50,16.253392696380615,128184,0.024902895154916574,0.0203351139036112,0.05926517315921894,0.07697812387738924,0.09483773855296738,0.11308997475152438,3.785477880392847,2563.68,2327.92,0.09196155526430756,0,0.15491793047494226
E1_many_moderate,0.8,no_mitigation,7,49,16.38262367248535,128519,0.024800789419675798,0.02035412557353311,0.05903268351076176,0.0765547812134153,0.09184551645848318,0.10967185422337522,3.7611432108368765,2570.38,2332.86,0.09240657023475128,0,0.15453746138703225
E1_many_moderate,0.8,no_mitigation,3,45,16.615780115127563,128254,0.024782936318272584,0.020273641310311064,0.05896816349828383,0.07689410048555308,0.09249805312581776,0.11480235001349115,3.7928115284571575,2565.08,2330.42,0.09148252686076068,0,0.15472421912766854
E1_many_moderate,0.8,no_mitigation,2,44,16.77253770828247,127689,0.024296450506554833,0.019877949383623417,0.05818018731803675,0.07536655613008035,0.08976626898899435,0.11742373217234814,3.791465340593512,2553.78,2328.38,0.08826132243184613,0,0.1553931818715786
