balancer,fault,baseline,run_id,seed,elapsed_sec,total,avg_latency,p50_latency,p95_latency,p99_latency,p999_latency,max_latency,tail_ratio,throughput,goodput,slo_violation_rate,hedge_count,affected_ratio
lor,S2_progressive,no_mitigation,5,47,6.360877752304077,128487,0.011868694571049929,0.009999999999999787,0.01875476020365454,0.08545585944810453,0.09975515942495111,0.09999924370114144,8.545585944810636,2569.74,2531.58,0.014849751336711106,0,0.015526862639800135
lor,S2_progressive,no_mitigation,6,48,6.177078485488892,127902,0.011869712796468129,0.009999999999999787,0.018701254559387512,0.0841481309136713,0.09976589516075889,0.09999929200650115,8.41481309136731,2558.04,2520.0,0.014870760425951118,0,0.015597879626589107
lor,S2_progressive,no_mitigation,7,49,6.316152811050415,128484,0.011913936120903171,0.009999999999999787,0.018798093562628182,0.08489861943290732,0.09978287795744097,0.09999899335678464,8.489861943290913,2569.68,2531.32,0.01492792876934093,0,0.015527225179788924
lor,S2_progressive,no_mitigation,8,50,6.278567790985107,127360,0.011818325062005655,0.009999999999999787,0.018555237619135474,0.08397306230612206,0.09973367928301134,0.09999945898563567,8.397306230612385,2547.2,2509.34,0.014863379396984925,0,0.01566425879396985
lor,S2_progressive,no_mitigation,9,51,6.247835159301758,127960,0.011853507821867875,0.009999999999999787,0.018623691666339138,0.08465047149057997,0.09974888525579606,0.09999964571350617,8.465047149058178,2559.2,2521.2,0.014848390121913097,0,0.015598624570178181
p2c,S6_cascade,fixed_isolation,6,48,17.205551624298096,127374,0.016482247101770372,0.016014601963423303,0.027732147542932847,0.03238185451889264,0.03901634937658067,0.16386926721364148,2.022020565534596,2547.48,2546.4,0.0004239483725093033,0,0.023183695259629124
p2c,S6_cascade,fixed_isolation,7,49,17.313934087753296,128046,0.01663176350348569,0.01613829693062918,0.02795484721680097,0.0328316583689402,0.039511255850623844,0.1779372021663086,2.0343942430894533,2560.92,2559.82,0.0004295331365290599,0,0.023249457226309295
p2c,S6_cascade,fixed_isolation,8,50,17.4318687915802,128426,0.01688171573473786,0.016427879299676817,0.02830918012064121,0.03379313602629708,0.039491712368361256,0.1472527271010513,2.0570601603435135,2568.52,2567.44,0.00042047560462834627,0,0.023149518010371732
p2c,S6_cascade,adaptive,2,44,17.178715229034424,127946,0.01658225685947257,0.01615333112316719,0.027768569564726064,0.032356525522297744,0.039291272535427336,0.19017456036906566,2.0030868726446056,2558.92,2557.94,0.0003829740671845935,0,0.02335360230097072
p2c,S6_cascade,adaptive,3,45,17.141419172286987,127875,0.016671617574823872,0.016232737626637572,0.027993049245721824,0.032889177971940596,0.03904295348932666,0.19016930766246176,2.0261017413335236,2557.5,2556.4,0.00043010752688172043,0,0.023210166177908113
