load_factor,fault_scenario,baseline,metric,mean,ci_95,n
0.88,s3_2node_3x,adaptive,goodput,2778.0781818181817,10.726691090394548,10
0.88,s3_2node_3x,adaptive,slo_violation_rate,0.011589006624581961,0.0035858110550394113,10
0.88,s3_2node_3x,fixed_isolation,p99_latency,0.04920761601717933,0.0007368032477930252,10
0.88,s3_2node_3x,fixed_isolation,p999_latency,0.10606141121671742,0.001999816072418541,10
0.88,s3_2node_3x,fixed_isolation,p95_latency,0.033386987962297984,0.00028665454716703337,10
0.88,s3_2node_3x,fixed_isolation,p50_latency,0.018866386360653742,9.397857379840141e-05,10
0.88,s3_2node_3x,fixed_isolation,avg_latency,0.02008773621488635,0.00012473630231187748,10
0.88,s3_2node_3x,fixed_isolation,throughput,2813.7709090909093,4.497672467191929,10
0.88,s3_2node_3x,fixed_isolation,goodput,2786.3690909090906,4.584106524574654,10
0.88,s3_2node_3x,fixed_isolation,slo_violation_rate,0.009738554089907517,0.00022928993113230942,10
0.88,s3_2node_3x,lit_blacklist,p99_latency,0.040089887446522324,0.00068652935681742,10
0.88,s3_2node_3x,lit_blacklist,p999_latency,0.048522436940116674,0.0005476541634644138,10
0.88,s3_2node_3x,lit_blacklist,p95_latency,0.034901751520910476,0.0004552367557620349,10
0.88,s3_2node_3x,lit_blacklist,p50_latency,0.019645010669244733,0.00012377122185661915,10
0.88,s3_2node_3x,lit_blacklist,avg_latency,0.020713849322548154,0.0001970382508339734,10
0.88,s3_2node_3x,lit_blacklist,throughput,2814.66,4.576613125950297,10
0.88,s3_2node_3x,lit_blacklist,goodput,2813.274545454545,4.357919911588367,10
0.88,s3_2node_3x,lit_blacklist,slo_violation_rate,0.0004919981063493406,0.00013222350558258383,10
0.88,s3_2node_3x,no_mitigation,p99_latency,0.08787161785768982,0.0003387946993557212,10
0.88,s3_2node_3x,no_mitigation,p999_latency,0.11941507822374926,0.0005602744541361979,10
0.88,s3_2node_3x,no_mitigation,p95_latency,0.034852024673654794,0.0002907657015952818,10
0.88,s3_2node_3x,no_mitigation,p50_latency,0.01884935752401016,8.435866750887849e-05,10
0.88,s3_2node_3x,no_mitigation,avg_latency,0.020847498177433917,0.00012426597881609578,10
0.88,s3_2node_3x,no_mitigation,throughput,2814.2,5.079551656513626,10
0.88,s3_2node_3x,no_mitigation,goodput,2755.3745454545456,4.829572524326992,10
0.88,s3_2node_3x,no_mitigation,slo_violation_rate,0.020902914236543894,9.778083437133586e-05,10
0.88,s4_4node_mixed,adaptive,p99_latency,0.17023407758718326,0.016173376337313163,10
0.88,s4_4node_mixed,adaptive,p999_latency,0.2500681223517923,0.014535873698725207,10
0.88,s4_4node_mixed,adaptive,p95_latency,0.050868097781897235,0.0014168403832447898,10
0.88,s4_4node_mixed,adaptive,p50_latency,0.025755397677681112,0.0005825945367405412,10
0.88,s4_4node_mixed,adaptive,avg_latency,0.03007854508369252,0.0009508010968789174,10
0.88,s4_4node_mixed,adaptive,throughput,2813.0254545454545,6.033556927090748,10
0.88,s4_4node_mixed,adaptive,goodput,2667.432727272727,11.861336266387895,10
0.88,s4_4node_mixed,adaptive,slo_violation_rate,0.05175865896807832,0.003379621674614801,10
0.88,s4_4node_mixed,fixed_isolation,p99_latency,0.1755095249753064,0.02084230446831275,10
0.88,s4_4node_mixed,fixed_isolation,p999_latency,0.2522510616299375,0.024702650223853585,10
0.88,s4_4node_mixed,fixed_isolation,p95_latency,0.05149230305968681,0.0026120776866374465,10
0.88,s4_4node_mixed,fixed_isolation,p50_latency,0.02598394103345747,0.0011700995493877902,10
0.88,s4_4node_mixed,fixed_isolation,avg_latency,0.03041806915439942,0.001710240567712707,10
0.88,s4_4node_mixed,fixed_isolation,throughput,2812.3618181818183,4.840388832887059,10
0.88,s4_4node_mixed,fixed_isolation,goodput,2656.572727272727,25.59881449262698,10
0.88,s4_4node_mixed,fixed_isolation,slo_violation_rate,0.055372133682290194,0.010176558429305498,10
0.88,s4_4node_mixed,lit_blacklist,p99_latency,0.3519433851486425,0.10960993549642176,10
0.88,s4_4node_mixed,lit_blacklist,p999_latency,0.3647754107067292,0.11054122719540665,10
0.88,s4_4node_mixed,lit_blacklist,p95_latency,0.33063027123519156,0.10487884994347016,10
0.88,s4_4node_mixed,lit_blacklist,p50_latency,0.16964921469778868,0.06421594233738384,10
0.88,s4_4node_mixed,lit_blacklist,avg_latency,0.17297081269237022,0.05856367141273621,10
0.88,s4_4node_mixed,lit_blacklist,throughput,2798.2163636363634,2.5972370069127075,10
0.88,s4_4node_mixed,lit_blacklist,goodput,596.6454545454544,266.76305389930724,10
0.88,s4_4node_mixed,lit_blacklist,slo_violation_rate,0.7866413700926252,0.09568455076442071,10
0.88,s4_4node_mixed,no_mitigation,p99_latency,0.1622122200197864,0.022009595428644647,10
0.88,s4_4node_mixed,no_mitigation,p999_latency,0.23138120051784852,0.03715269185765663,10
0.88,s4_4node_mixed,no_mitigation,p95_latency,0.05174043355413559,0.0024256887279923305,10
0.88,s4_4node_mixed,no_mitigation,p50_latency,0.0254119283404755,0.001013998350888371,10
0.88,s4_4node_mixed,no_mitigation,avg_latency,0.029619905916386358,0.0015445426381918666,10
0.88,s4_4node_mixed,no_mitigation,throughput,2813.7745454545457,4.640991248122184,10
0.88,s4_4node_mixed,no_mitigation,goodput,2658.030909090909,23.90898794365449,10
0.88,s4_4node_mixed,no_mitigation,slo_violation_rate,0.05534552546711426,0.008661077737135167,10
0.88,s6_cascade,adaptive,p99_latency,0.07483780785070797,0.02564956072361488,10
0.88,s6_cascade,adaptive,p999_latency,0.20049159407358305,0.01903847893178176,10
0.88,s6_cascade,adaptive,p95_latency,0.03628603772980285,0.00039248293361622696,10
0.88,s6_cascade,adaptive,p50_latency,0.019461688456626193,0.00012157927448296462,10
0.88,s6_cascade,adaptive,avg_latency,0.021688845925182672,0.00033249111729355727,10
0.88,s6_cascade,adaptive,throughput,2810.125454545455,3.4121676020238976,10
0.88,s6_cascade,adaptive,goodput,2780.3072727272724,8.602368786644371,10
0.88,s6_cascade,adaptive,slo_violation_rate,0.010611532377438823,0.0027035889304103515,10
0.88,s6_cascade,fixed_isolation,p99_latency,0.06700117110670226,0.022534229616469968,10
0.88,s6_cascade,fixed_isolation,p999_latency,0.18233718643741273,0.024495551417028902,10
0.88,s6_cascade,fixed_isolation,p95_latency,0.03689279823583724,0.0009835197577531128,10
0.88,s6_cascade,fixed_isolation,p50_latency,0.01967480262378003,0.00020686122077734904,10
0.88,s6_cascade,fixed_isolation,avg_latency,0.021812970703544873,0.00046272280515846046,10
0.88,s6_cascade,fixed_isolation,throughput,2818.130909090909,5.749302413329177,10
0.88,s6_cascade,fixed_isolation,goodput,2788.9,9.361639393999958,10
0.88,s6_cascade,fixed_isolation,slo_violation_rate,0.010366256152129584,0.003729434041903805,10
0.88,s6_cascade,lit_blacklist,p99_latency,0.048193405640738825,0.002160236707017799,10
0.88,s6_cascade,lit_blacklist,p999_latency,0.05811459439159437,0.0033021596877253934,10
0.88,s6_cascade,lit_blacklist,p95_latency,0.03878354687527185,0.0009558832848580669,10
0.88,s6_cascade,lit_blacklist,p50_latency,0.02030832747150484,0.00036913638891451734,10
0.88,s6_cascade,lit_blacklist,avg_latency,0.02199653561262433,0.0003552433624857652,10
0.88,s6_cascade,lit_blacklist,throughput,2812.8218181818183,5.450161473865663,10
0.88,s6_cascade,lit_blacklist,goodput,2795.0636363636368,8.741978338966069,10
0.88,s6_cascade,lit_blacklist,slo_violation_rate,0.006309155829813423,0.003259091556570057,10
0.88,s6_cascade,no_mitigation,p99_latency,0.13702774753166805,0.0012548277222137018,10
0.88,s6_cascade,no_mitigation,p999_latency,0.23277049024639895,0.0024064966826265917,10
0.88,s6_cascade,no_mitigation,p95_latency,0.037096008344397656,0.00046236108625119027,10
0.88,s6_cascade,no_mitigation,p50_latency,0.019529908281597043,7.515259501974089e-05,10
0.88,s6_cascade,no_mitigation,avg_latency,0.02265460576153888,0.0001672473490445527,10
0.88,s6_cascade,no_mitigation,throughput,2815.170909090909,3.626845254640082,10
0.88,s6_cascade,no_mitigation,goodput,2769.8109090909093,3.1599862650163955,10
0.88,s6_cascade,no_mitigation,slo_violation_rate,0.016112116672689997,0.0005509344805289505,10
0.9,s3_2node_3x,adaptive,p99_latency,0.055787364612405986,0.00978117507767963,10
0.9,s3_2node_3x,adaptive,p999_latency,0.11366881919315519,0.004402931894186299,10
0.9,s3_2node_3x,adaptive,p95_latency,0.03671449853421334,0.0002818891325430843,10
0.9,s3_2node_3x,adaptive,p50_latency,0.020243701665596258,0.0001681858871444396,10
0.9,s3_2node_3x,adaptive,avg_latency,0.0219175577624479,0.0002024527644855463,10
0.9,s3_2node_3x,adaptive,throughput,2874.9490909090905,4.449228272236979,10
0.9,s3_2node_3x,adaptive,goodput,2841.9963636363636,6.359142604980307,10
0.9,s3_2node_3x,adaptive,slo_violation_rate,0.011458648338476584,0.0025133864153340647,10
0.9,s3_2node_3x,fixed_isolation,p99_latency,0.05031927294889227,0.0015654484322912287,10
0.9,s3_2node_3x,fixed_isolation,p999_latency,0.11273327202459513,0.0017149418587608688,10
0.9,s3_2node_3x,fixed_isolation,p95_latency,0.03696161154483324,0.0003886619481199617,10
0.9,s3_2node_3x,fixed_isolation,p50_latency,0.020571677320039505,0.000269903543848925,10
0.9,s3_2node_3x,fixed_isolation,avg_latency,0.022060945344739194,0.00019972326620991556,10
0.9,s3_2node_3x,fixed_isolation,throughput,2879.0254545454545,4.435300543203768,10
