load_factor,fault_scenario,baseline,run_id,seed,elapsed_sec,total,avg_latency,p50_latency,p95_latency,p99_latency,p999_latency,max_latency,tail_ratio,throughput,goodput,slo_violation_rate,hedge_count,affected_ratio
0.9,s4_4node_mixed,adaptive,6,31222,19.4439857006073,158523,0.06383469103734465,0.05359494151712596,0.11421770880818512,0.3448428867166785,0.546542624412958,0.7289619270337226,6.434243175850577,2882.2363636363634,1283.581818181818,0.554657683743053,0,0.04143247352119251
0.9,s4_4node_mixed,adaptive,7,29647,19.452799558639526,158477,0.04123445833970789,0.03538206075366901,0.07443096363655179,0.21365367992362155,0.3287063152911551,0.4604462642946743,6.038474734727438,2881.4,2301.109090909091,0.20139200010096103,0,0.047552641708260505
0.9,s4_4node_mixed,adaptive,8,33281,19.735389947891235,158238,0.03798968503545171,0.03279268658673118,0.07210600670003124,0.20410585801939554,0.31715378378584014,0.47347782245207526,6.224127366922794,2877.0545454545454,2484.2363636363634,0.13653483992467044,0,0.05002591033759274
0.9,s4_4node_mixed,adaptive,9,63578,19.108879327774048,158417,0.03535564362441696,0.030628262267448747,0.06164534567767248,0.19676648578783193,0.3170335222867733,0.3939412701072982,6.424343766866342,2880.309090909091,2569.3818181818183,0.1079492731209403,0,0.054047229779632236
0.9,s4_4node_mixed,fixed_isolation,0,42650,19.305511951446533,157810,0.04068107142420297,0.034722476886230424,0.07311450724842702,0.23717649771025637,0.363083696962522,0.5064631548995209,6.830633035983423,2869.2727272727275,2336.927272727273,0.18553323617007794,0,0.045237944363475065
0.9,s4_4node_mixed,fixed_isolation,2,86072,18.982436656951904,157986,0.03562742158331883,0.030629412920571752,0.06137527723548786,0.17700045205902332,0.28905291580326736,0.43390167071533625,5.778773903307295,2872.4727272727273,2557.818181818182,0.1095413517653463,0,0.051074145810388265
0.9,s4_4node_mixed,fixed_isolation,1,55775,19.179704904556274,157504,0.03486638998850721,0.029726255782566824,0.0648279293739277,0.16542312210678678,0.27600508436037385,0.4175624375334337,5.56488255085931,2863.7090909090907,2552.8,0.10856867127184072,0,0.0527161214953271
0.9,s4_4node_mixed,fixed_isolation,3,10294,19.734069108963013,158525,0.04539969807383659,0.03857592971428048,0.08225486848862999,0.24080415064139507,0.37332588550500273,0.5168852332361951,6.242342113980248,2882.2727272727275,2083.309090909091,0.27719917994007254,0,0.04591704778426116
0.9,s4_4node_mixed,fixed_isolation,4,88131,19.51860761642456,157699,0.033518416138979865,0.028834975410457986,0.059706457791935834,0.16792048749131588,0.27624026358039816,0.3743243188369849,5.823500283978525,2867.2545454545457,2607.5636363636363,0.09057127819453516,0,0.05351333870221117
0.9,s4_4node_mixed,fixed_isolation,5,8235,19.496944189071655,158485,0.04049632695204829,0.03389169915575607,0.0788510908960269,0.20303794713624365,0.3482725135067036,0.4326280915836094,5.990786894547312,2881.5454545454545,2256.090909090909,0.21705524182099253,0,0.05091964539230842
0.9,s4_4node_mixed,fixed_isolation,6,22062,19.49685549736023,157676,0.043527084806287454,0.03777833037323042,0.0699558881555884,0.25288579744382833,0.353207628093728,0.4450138158273802,6.693937898934312,2866.836363636364,2165.909090909091,0.24449504046272102,0,0.04338643801212613
0.9,s4_4node_mixed,fixed_isolation,7,74304,19.00513195991516,158872,0.04486743622726397,0.037807597202190735,0.08539381323788921,0.2211061325729809,0.32595598699561695,0.43721423762185907,5.848193192244681,2888.581818181818,2056.909090909091,0.28791731708545243,0,0.049757037111637044
0.9,s4_4node_mixed,fixed_isolation,8,24121,19.256650686264038,158256,0.04515995199404875,0.036826036543663676,0.09070954128564956,0.2441924215351464,0.4503965355094012,0.6231847235673982,6.630972117936552,2877.3818181818183,2083.4,0.2759389849358002,0,0.048080325548478416
0.9,s4_4node_mixed,lit_blacklist,0,36095,18.840835571289062,154372,0.6420295228629732,0.6396487264037454,1.3098138305066709,1.3784117751008775,1.4051802359020948,1.4173865698547203,2.1549511758596482,2806.7636363636366,297.90909090909093,0.8938602855440105,0,0.012087684295079419
0.9,s4_4node_mixed,fixed_isolation,9,29070,19.290153741836548,158358,0.0377403193137749,0.03289363463464934,0.0681251843070175,0.17551623271949798,0.25367689453909414,0.3598075468589741,5.335872264313823,2879.2363636363634,2425.0363636363636,0.1577501610275452,0,0.052854923653999165
0.9,s4_4node_mixed,lit_blacklist,1,62330,18.95104742050171,154195,0.5363082373524728,0.5638947142766497,1.1597238678947313,1.2100447270783314,1.2358779765770918,1.249915094475341,2.1458699584204246,2803.5454545454545,302.3454545454546,0.8921560361879438,0,0.011874574402542236
0.9,s4_4node_mixed,lit_blacklist,2,92627,19.3263897895813,154295,0.6080329616706314,0.6113300914967077,1.2427528726349422,1.2792992750292151,1.29765309896426,1.3198748212450724,2.092648951562537,2805.3636363636365,312.27272727272725,0.8886872549337308,0,0.012087235490456594
0.9,s4_4node_mixed,lit_blacklist,3,96261,19.104151964187622,154440,0.5647401126853951,0.537900316835719,1.1699998922502626,1.269133181979219,1.2899060598887302,1.3026055206180658,2.359420774178177,2808.0,364.8727272727273,0.87005957005957,0,0.012192437192437192
0.9,s4_4node_mixed,lit_blacklist,4,56930,18.850176572799683,154182,0.6519010873799992,0.5766918384711133,1.345728479845021,1.4017120676414243,1.4492838824614416,1.466932940988599,2.4306084708213476,2803.309090909091,332.1090909090909,0.8815296208377112,0,0.01199880660518089
0.9,s4_4node_mixed,lit_blacklist,5,98320,18.88388228416443,154432,0.5843398630812158,0.568739218692393,1.204152360134927,1.3061932090762192,1.3242589939574234,1.338848596587745,2.2966469801033433,2807.8545454545456,332.56363636363636,0.8815595213427269,0,0.012167167426440115
0.9,s4_4node_mixed,lit_blacklist,6,28617,19.076207876205444,154423,0.6223597008429365,0.5893283465307491,1.3580653054423912,1.4001748460939145,1.4221538039011679,1.437950098704576,2.3758823995764784,2807.690909090909,328.1454545454545,0.8831262182446915,0,0.012148449389015884
0.9,s4_4node_mixed,lit_blacklist,8,30676,18.705199718475342,154278,0.6691374410995851,0.6489585264483555,1.3712795022915425,1.399806355424493,1.4191447763046505,1.436057973670053,2.15700433598647,2805.0545454545454,320.56363636363636,0.8857192859642982,0,0.012023749335614928
0.9,s4_4node_mixed,lit_blacklist,7,32251,18.85322618484497,154521,0.7811613605309661,0.8379939667501901,1.4973224843805042,1.558489005870321,1.573253108427253,1.5879070850192178,1.8597854730556953,2809.4727272727273,316.2181818181818,0.8874457193520622,0,0.012412552339164256
0.9,s4_4node_mixed,lit_blacklist,9,22515,18.60517692565918,154427,0.6798399853694017,0.7476733468390577,1.3196105012594643,1.346316625056934,1.3649287395551601,1.3778868101392305,1.8006748946565547,2807.7636363636366,297.7818181818182,0.8939434166305115,0,0.012025099237827581
0.9,s4_4node_mixed,no_mitigation,1,45918,19.230483055114746,158445,0.04495266979298852,0.037843080211462876,0.08735444292618406,0.23318212487302548,0.37365000083128713,0.5726581546294938,6.161816732941134,2880.818181818182,2127.2727272727275,0.26157341664299916,0,0.04614850579065291
0.9,s4_4node_mixed,no_mitigation,0,52507,19.389764308929443,158608,0.0452062543360902,0.03972252916178576,0.06998204326518298,0.2542145486472649,0.3476059411024426,0.46424224369833667,6.399757367207795,2883.7818181818184,2109.6363636363635,0.2684479975789367,0,0.04395112478563502
0.9,s4_4node_mixed,no_mitigation,2,76215,18.75017523765564,158684,0.03887728436346934,0.033348082970364956,0.0714978231650183,0.18942609294739085,0.3358345162486374,0.44428256356360407,5.68026933109546,2885.163636363636,2358.4,0.18257669330241233,0,0.052450152504348264
0.9,s4_4node_mixed,no_mitigation,3,79849,19.312137842178345,158178,0.042719338954894506,0.03642716835045334,0.07984490510367194,0.229038211348876,0.3739345167716657,0.5292223122819948,6.287565619852129,2875.9636363636364,2207.4727272727273,0.23244066810808078,0,0.04757930938562885
0.9,s4_4node_mixed,no_mitigation,4,78274,18.809317111968994,158458,0.04389648776630809,0.0365356880602441,0.08538406452410353,0.21842114077446045,0.33460434004199235,0.4318849254607571,5.978295534336275,2881.0545454545454,2105.927272727273,0.26904290095798256,0,0.048473412513094956
0.9,s4_4node_mixed,no_mitigation,5,81908,18.98638653755188,158317,0.0383649769769516,0.033190620713034136,0.06887919952309568,0.21239906472545755,0.3198118087691174,0.43739368516079224,6.399370067883283,2878.490909090909,2463.1272727272726,0.14429909611728367,0,0.049047164865428226
0.9,s4_4node_mixed,no_mitigation,6,12205,19.055569887161255,158414,0.04433457982119259,0.03798134872243253,0.0779945061945135,0.24324540384853166,0.3587695794072319,0.45534166585790814,6.4043382352261276,2880.2545454545457,2091.6545454545453,0.27379524536972744,0,0.04721804890981857
0.9,s4_4node_mixed,no_mitigation,7,15839,18.95709729194641,158477,0.061067672600374226,0.05412872832293303,0.09916652722811924,0.36344118400728675,0.5031817013261842,0.6902887416834531,6.7143861544093495,2881.4,1254.2545454545455,0.5647065504773563,0,0.03953255046473621
0.9,s4_4node_mixed,no_mitigation,8,14264,18.888386249542236,158759,0.0393127521178276,0.03369698403385257,0.07689068547005391,0.1883431335588173,0.2975181658297498,0.4010068372109359,5.589317232948935,2886.5272727272727,2349.418181818182,0.18607449026511882,0,0.052582845696936865
0.9,s4_4node_mixed,no_mitigation,9,38927,18.73429560661316,158681,0.058987378064988084,0.05323305362981756,0.09431460670911918,0.3290454578848649,0.46591433884206657,0.6000826625159519,6.181224548436497,2885.109090909091,1324.9272727272728,0.5407704766166082,0,0.042645307251655835
0.9,s6_cascade,adaptive,0,39256,19.83011746406555,158644,0.025192023746461432,0.022598308472950634,0.04031292694324247,0.13228481490117652,0.24792167663147427,0.33955813424582715,5.853748525449005,2884.4363636363637,2835.3818181818183,0.01700663119941504,0,0.04893976450417287
0.9,s6_cascade,adaptive,2,73187,18.84824776649475,157793,0.024119265681584533,0.0213361900332103,0.03900022573938315,0.12504984257821955,0.2391159409845958,0.3408606449910039,5.860926547034706,2868.9636363636364,2822.0363636363636,0.016356872611586065,0,0.04950156217322695
0.9,s6_cascade,adaptive,1,25238,20.02153182029724,158581,0.025791275516318574,0.022746371522202935,0.04411823170971729,0.13689098898895824,0.25904879338861125,0.4359183205430952,6.018146184561249,2883.2909090909093,2800.4,0.028748715167643032,0,0.04933756250748829
