slowdown,baseline,run_id,seed,elapsed_sec,total,avg_latency,p50_latency,p95_latency,p99_latency,p999_latency,max_latency,tail_ratio,throughput,goodput,slo_violation_rate,hedge_count,affected_ratio
1.05,fixed_speculation,4,76441,23.092540740966797,127440,0.014729771301105457,0.013695280506449414,0.024796533074664843,0.028798589234340036,0.03374697537243375,0.0434720501903314,2.1028111998712355,2548.8,2548.8,0.0,0,0.030163214061519145
1.05,fixed_shedding,5,89255,16.853657007217407,127779,0.014780095338721023,0.013799010128565214,0.024906330627907633,0.02880560249763491,0.03366976461786784,0.039925183354938554,2.087512236693317,2555.58,2555.58,0.0,0,0.030020582411820408
1.05,fixed_speculation,9,42026,19.443100690841675,127344,0.014738018178178824,0.013695925800468522,0.024844650288755134,0.028821508549486938,0.034278040892119666,0.04292467298020064,2.1043855646838407,2546.88,2546.88,0.0,0,0.030994785777107677
1.05,fixed_speculation,8,40451,20.09709858894348,127292,0.014733825186590072,0.01367190232372284,0.02485474358152171,0.028819456938981063,0.03389615429354816,0.04332603011508951,2.1079332090439897,2545.84,2545.84,0.0,0,0.030449674763535807
1.05,fixed_shedding,6,63936,17.62604308128357,128065,0.014840569169098518,0.013847306498234957,0.025121654438058263,0.02892201622788633,0.0341929723072195,0.04070150975574549,2.088638410045511,2561.3,2561.3,0.0,0,0.03062507320501308
1.05,fixed_shedding,2,68054,20.31266498565674,128308,0.014874457198796124,0.013915845349441014,0.02514551043081434,0.028976441641273422,0.03447704196314944,0.04037149773485993,2.08226240761129,2566.16,2566.16,0.0,0,0.030403404308382953
1.05,fixed_shedding,8,30005,16.777504920959473,127583,0.014829170032554335,0.013842862066574924,0.02508138390758496,0.028942136652049425,0.034226739454991884,0.04143095035742306,2.0907624819821993,2551.66,2551.66,0.0,0,0.029956969188685012
1.05,fixed_shedding,7,33639,19.921557903289795,127698,0.01480239460552516,0.013854167245526128,0.02494846566311155,0.028792719535417746,0.03390054483197502,0.040395159318457274,2.0782713984281997,2553.96,2553.96,0.0,0,0.030305877930742846
1.05,fixed_shedding,4,65995,21.353862524032593,127913,0.014804861683196618,0.01382513818063913,0.024983385621207076,0.02880141807271656,0.033619329154890014,0.04161769793142156,2.0832643910243425,2558.26,2558.26,0.0,0,0.03055201582325487
1.05,fixed_shedding,9,31580,18.568416833877563,127511,0.014744724471302354,0.013698076835751749,0.024920868193762047,0.028878687710634128,0.03441462371348842,0.039964890913999795,2.1082293563473993,2550.22,2550.22,0.0,0,0.030326795335304406
1.05,fixed_isolation,0,41688,17.651386499404907,128384,0.014946821945841012,0.014026527944814404,0.02537284258451357,0.029063388237160124,0.0348433923770239,0.043045513495719945,2.072030109768172,2567.68,2567.68,0.0,0,0.030221834496510468
